"country_name","name","year","Life Ladder","Log GDP per capita","Social support","Healthy life expectancy at birth","Freedom to make life choices","Generosity","Perceptions of corruption","Positive affect","Negative affect","Confidence in national government","Access to clean fuels and technologies for cooking (% of population)","Access to clean fuels and technologies for cooking, urban (% of urban population)","Access to electricity, rural (% of rural population)","Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to electricity (% of population)","Access to electricity, urban (% of urban population)","Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Adequacy of social insurance programs (% of total welfare of beneficiary households)","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","Adequacy of social safety net programs (% of total welfare of beneficiary households)","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","Adjusted net enrollment rate, primary (% of primary school age children)","Adjusted net national income (annual % growth)","Adjusted net national income (constant 2015 US$)","Adjusted net national income (current US$)","Adjusted net national income per capita (annual % growth)","Adjusted net national income per capita (constant 2015 US$)","Adjusted net national income per capita (current US$)","Adjusted net savings, excluding particulate emission damage (% of GNI)","Adjusted net savings, excluding particulate emission damage (current US$)","Adjusted net savings, including particulate emission damage (% of GNI)","Adjusted net savings, including particulate emission damage (current US$)","Agricultural irrigated land (% of total agricultural land)","Agricultural land (% of land area)","Agricultural land (sq. km)","Average working hours of children, study and work, ages 7-14 (hours per week)","Average working hours of children, working only, ages 7-14 (hours per week)","Children in employment, total (% of children ages 7-14)","Children out of school (% of primary school age)","Children out of school, female (% of female primary school age)","Children out of school, male (% of male primary school age)","Coverage of social insurance programs (% of population)","GDP (constant 2015 US$)","GDP (current US$)","GDP per capita (constant 2015 US$)","GDP growth (annual %)","GDP per capita (current US$)","Gini index","Gross savings (% of GNI)","Income share held by highest 10%","Income share held by lowest 10%","Inflation, consumer prices (annual %)","Labor force participation rate for ages 15-24, total (%) (national estimate)","Labor force, total","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Population, total","Unemployment, total (% of total labor force) (national estimate)","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)","Women who believe a husband is justified in beating his wife (any of five reasons) (%)","Women who believe a husband is justified in beating his wife when she argues with him (%)","Women who believe a husband is justified in beating his wife when she burns the food (%)","Women who believe a husband is justified in beating his wife when she neglects the children (%)","Women who believe a husband is justified in beating his wife when she goes out without telling him (%)","Women who believe a husband is justified in beating his wife when she refuses sex with him (%)","Urban population (% of total population)","Total greenhouse gas emissions (% change from 1990)","Mortality rate, infant (per 1,000 live births)","Suicide mortality rate (per 100,000 population)","Tax revenue (% of GDP)","Forest area (% of land area)","Arable land (% of land area)","Population living in slums (% of urban population)","Military expenditure (% of GDP)","High-technology exports (% of manufactured exports)","Central government debt, total (% of GDP)","Expense (% of GDP)","Strength of legal rights index (0=weak to 12=strong)","Individuals using the Internet (% of population)"
"Afghanistan","Southern Asia",2008,3.72358989715576,7.30257368087769,0.450662314891815,50.5,0.71811431646347,0.173169285058975,0.881686329841614,0.414297044277191,0.258195489645004,0.612072110176086,"16.7","63.5","27.9542503356934","4.3","42.4000015258789","89.9000015258789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.77947771036666","58.123668031216","379100",NA,NA,NA,NA,NA,NA,NA,"11559786095.0463","10249767311.213","437.420026808226","3.92498382161573","387.849174300047",NA,NA,NA,NA,"26.4186641547444","54.8699989318848","6197115",NA,NA,26427199,"2.49000000953674",NA,NA,NA,NA,NA,NA,NA,NA,"23.32","22.0366815449198","69.2","4.6","6.08796493020769","1.85278199408184","11.9497723195805","63.6","2.335545701939",NA,NA,"50.7192978736512",NA,"1.84"
"Afghanistan","Southern Asia",2009,4.40177822113037,7.47244644165039,0.552308440208435,50.7999992370605,0.678896367549896,0.195469126105309,0.850035429000854,0.481421440839767,0.237092420458794,0.611545205116272,"18.4","66.7","34.7457847595215","5.3","46.7400512695313","85.7244720458984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11297466347.9073",NA,NA,"412.537509545075",NA,NA,NA,NA,"4.84304932735426","58.123668031216","379100",NA,NA,NA,NA,NA,NA,NA,"14032485421.8896","12154835707.8987","512.409279249256","21.3905283931066","443.845150536332",NA,NA,NA,NA,"-6.81116108898995",NA,"6486771",NA,NA,27385307,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.528","24.1571600723123","66.7","4.4","8.48175836103604","1.85278199408184","11.9482391181025",NA,"2.08741255278385",NA,NA,"44.3178392396772",NA,"3.55"
"Afghanistan","Southern Asia",2010,4.75838088989258,7.57918262481689,0.539075195789337,51.0999984741211,0.600127220153809,0.125859469175339,0.706766068935394,0.516906678676605,0.275323808193207,0.299357414245605,"20","69.5","30.2187995910645","6.15","42.7000007629395","82.8000030517578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14483632040.631",NA,NA,"513.792144890192",NA,NA,NA,NA,"5.00118699058321","58.125201232694","379110",NA,NA,NA,NA,NA,NA,NA,"16047892927.2921","15633856787.0425","569.282712026308","14.3624414692681","554.595200222354",NA,NA,NA,NA,"2.1785375238942",NA,"6720461",NA,NA,28189672,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.737","42.0123441078865","64.2","4.3","9.16975191915408","1.85278199408184","11.9482391181025","64.80761","1.94583569418812",NA,NA,"50.8630045999057",NA,"4"
"Afghanistan","Southern Asia",2011,3.83171916007996,7.55200624465942,0.52110356092453,51.4000015258789,0.49590140581131,0.167722776532173,0.731108546257019,0.479834675788879,0.267174690961838,0.307385712862015,"21.8","72.1","29.5728797912598","7.1","43.2220191955566","86.5677795410156","9.01","10.54","1.13",NA,NA,NA,NA,NA,NA,NA,"16267323504.6719",NA,NA,"556.163841052646",NA,NA,NA,NA,"5.39171722500659","58.123668031216","379100","13.1","13.3","9.3",NA,NA,NA,NA,"16116313886.6037","18190410820.6235","551.000970270826","0.426354784529209","621.912310861592",NA,NA,NA,NA,"11.8041858089129",NA,"7085822","31.4488506317139","46.9900512695313",29249157,NA,NA,NA,"90.2",NA,NA,NA,NA,NA,"23.948","43.5287644039078","61.8","4.1","8.91679399595736","1.85278199408184","11.9451727151465",NA,"1.82134545354632",NA,NA,"59.4847758807514",NA,"5"
"Afghanistan","Southern Asia",2012,3.78293752670288,7.63795328140259,0.520636737346649,51.7000007629395,0.530935049057007,0.241247072815895,0.775619804859161,0.613512814044952,0.26791912317276,0.43544015288353,"23","74.4","60.8491554260254","8.2","69.0999984741211","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18225512193.1932",NA,NA,"598.215244800464",NA,NA,NA,NA,"5.46557636507518","58.123668031216","379100",NA,NA,NA,NA,NA,NA,NA,"18171512501.5422","20203572959.5023","596.4428151196","12.7522870887171","663.141052810937",NA,NA,NA,NA,"6.44121280934118","38.7700004577637","7520865",NA,NA,30466479,"1.69000005722046",NA,NA,NA,NA,NA,NA,NA,NA,"24.16",NA,"59.5","4","7.70780060287773","1.85278199408184","11.9436395136685","67.24795","1.17541612009987",NA,NA,"42.3292514484608",NA,"5.454545455"
"Afghanistan","Southern Asia",2013,3.57210040092468,7.6575026512146,0.483551859855652,52,0.577955365180969,0.0663439780473709,0.823204100131989,0.547416985034943,0.273328095674515,0.482847273349762,"24.8","75.7","60.5661354064941","9.1","68.2906494140625","92.2590484619141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18502504965.1779",NA,NA,"586.613688941914",NA,NA,NA,NA,"5.51833289369559","58.123668031216","379100",NA,NA,NA,NA,NA,NA,NA,"19189252517.2649","20564485419.1684","608.386714575999","5.60074465808154","651.987861948108",NA,NA,NA,NA,"7.38577178397857",NA,"7881567",NA,NA,31541209,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.373",NA,"57.3","4","7.12277329020889","1.85278199408184","11.9359735062785",NA,"1.07694976762403",NA,NA,"42.0936844468805","9","5.9"
"Afghanistan","Southern Asia",2014,3.13089561462402,7.65082740783691,0.525568425655365,52.2999992370605,0.508514046669006,0.109215162694454,0.871241986751556,0.491641014814377,0.374860733747482,0.409047514200211,"26.1","77.6","86.5005111694336","10.2","89.5","98.6999969482422","9.96","11.51","6.07",NA,NA,NA,NA,NA,NA,NA,"18834093829.3395",NA,NA,"575.68079644126",NA,NA,NA,NA,"5.74254814033237","58.123668031216","379100",NA,NA,NA,NA,NA,NA,NA,"19712072023.3154","20550582746.8448","602.516979299112","2.72454336394854","628.146803888496",NA,NA,NA,NA,"4.67399603536339","48.4599990844727","8285362",NA,NA,32716210,"7.90999984741211",NA,NA,NA,NA,NA,NA,NA,NA,"24.587",NA,"55.2","3.9","6.88210294277301","1.85278199408184","11.9145086855864","69.68829","1.29801287790022",NA,NA,"44.5892994893339","9","7"
"Afghanistan","Southern Asia",2015,3.98285460472107,7.63446569442749,0.528597235679626,52.5999984741211,0.388927578926086,0.0850820764899254,0.880638301372528,0.491409957408905,0.339276045560837,0.260557144880295,"27.4","78.8","64.573356628418","11.1","71.5","92.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17785739175.8072","17785739175.8072",NA,"526.930235464098","526.930235464098",NA,NA,NA,NA,"5.71089422316012","58.123668031216","379100",NA,NA,NA,NA,NA,NA,NA,"19998156214.3988","19998156214.3988","592.476537451681","1.45131466009755","592.476537451681",NA,NA,NA,NA,"-0.661709164713696",NA,"8630723",NA,"64.3399963378906",33753499,NA,NA,"32.6","80.2","59.2","18.2","48.4","66.9","33.4","24.803",NA,"53.2","4","7.58538233129798","1.85278199408184","11.9053094767183",NA,"0.994575822723645",NA,NA,"37.0225695736427","9","8.26"
"Afghanistan","Southern Asia",2016,4.22016859054565,7.62903690338135,0.559071779251099,52.9249992370605,0.522566199302673,0.0474882274866104,0.793245553970337,0.501408755779266,0.348332285881042,0.324989557266235,"28.6","79.7","97.0993576049805","12.2","97.6999969482422","99.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16937442592.6735",NA,NA,"489.00974037583",NA,NA,NA,NA,"6.4811395410182","58.123668031216","379100",NA,NA,NA,NA,NA,NA,NA,"20450177379.3119","18019558181.9602","590.427738791141","2.26031420130452","520.252064031151",NA,NA,NA,NA,"4.38389195513914",NA,"8913938",NA,NA,34636207,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.02",NA,"51.3","4","9.50265278288094","1.85278199408184","11.8501142235101","72.12863","0.956772140958855",NA,NA,"43.9227656125389","9","11"
"Afghanistan","Southern Asia",2017,2.66171813011169,7.62968444824219,0.490880072116852,53.25,0.427010864019394,-0.116068467497826,0.954392552375793,0.435269951820374,0.371326178312302,0.261178523302078,"29.7","80.9","97.0919723510742","13","97.6999969482422","99.5","14.89","18.02","13.8",NA,NA,NA,NA,NA,NA,NA,"17641172246.3335",NA,NA,"494.93492027991",NA,NA,NA,NA,"5.99050382484833","58.123668031216","379100",NA,NA,NA,NA,NA,NA,NA,"20991494229.3483","18896352021.94","588.930450759474","2.64700320195786","530.149830802984",NA,NA,NA,NA,"4.9759515055383","39.2599983215332","9254594",NA,NA,35643418,"11.1800003051758",NA,NA,NA,NA,NA,NA,NA,NA,"25.25",NA,"49.5","4.1","9.89845089688421","1.85278199408184","11.8041181791699",NA,"0.945226799939516",NA,NA,"39.2201099807684","9","13.5"
